Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,County,Op Status,Coverage,Sponsor,Features,Coordination,Last update,Downlink Tone,Web links,Commands,On-air,Grid,Links,YSF Digital Enabled,DG-ID,Mixed-Mode,Nets,Notes,Affiliate,DMR Enabled,Color Code,Wide Network,EchoLink,IRLP,AllStar,Local Network,Talkgroups,Worldwide English,North America,Simplex,TAC 310,TAC 311,DCI Bridge,Echo Test,Hytera USA Reflector,MPRG 2,NW7RG-USA,USA - Area 7 4647,Local/Cluster,Montana,MPRG,D-STAR Enabled,Node,Sources,BGV,Parrot,WIRES-X,Talkgroup Network,Idaho,Bandwidth,P25 Digital Enabled,NAC,Default Reflector,Feed
147.36,0.6,103.5,KD8RMQ,"Plains, In Town",MT,OPEN,E,115.9,NNE,,147.36,147.96,103.5,Sanders,On-Air,Plains - Paradise,KD8RMQ,EchoLink,MRCC,,103.5,http://www.qsl.net/kd8rmq/link,#2 = Activate EchoLink (node)# = Connect to Node #. # = Disconnect from Node.,,,,,,,,Covers Plains and Paradise with a handheld. Covers from Thompson Falls to Perma on a mobile.,,,,,757103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,103.5,K7KTR,Plains,MT,OPEN,E,115.9,NNE,,147.14,147.74,103.5,Sanders,On-Air,30,K7KTR,80,,,,,,,,"Full-time to  
        146.62000 (KA5LXG) at Bigfork, MT .
 


Full-time to  
        146.70000 (K7HR) at East Glacier, Mt Baldy, MT .",,,,,,,,,,44014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,W7GET,"Plains, Pats Knob",MT,OPEN,A,115.9,NNE,,146.64,146.04,100,Sanders,On-Air,Wide area: From Thompson Falls to St. Regis,,,MRCC,,,,,,,,,,,,6,,,,,,,41474,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.075,-5,123,W7GET,"Plains, Pats Knob",MT,OPEN,,115.9,NNE,,449.075,444.075,123,Sanders,On-Air,Wide Area,,,,,,,,,,,,,,,6915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.55,5,,K7KTR,Dixon,MT,OPEN,,116,NNE,,444.55,449.55,,Sanders,,,WB7WBJ,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,103.5,K7RPT,"La Grande, Mount Fanny",OR,OPEN,,116.6,WSW,,147.26,147.86,103.5,Union,On-Air,I-84 west of La Grande and the Baker area.,Amateur Radio Relay Group (ARRG),88,ORRC,,,http://www.arrg.org/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.15,-0.6,110.9,W7NYW,"La Grande, Mount Fanny",OR,OPEN,,116.6,WSW,,145.15,144.55,110.9,Union,On-Air,,Eastern Oregon Amateur Radio Society,7,,,,,,,,"Full-time to  
        145.17000 (W7NYW) at Ontario, Malheir, OR .
 


Full-time to  
        145.27000 (W7NYW) at Baker City, Beaver Mountain, OR .",,,,,,Baker ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB7SIJ,"St. Maries, Idaho",ID,OPEN,,117.5,NNW,,145.31,144.71,88.5,Idaho,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,127.3,N7SZY,"Kellogg,  Wardner Peak",ID,OPEN,,119.9,NNW,,146.94,146.34,127.3,Shoshone,On-Air,,SVARC,,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,127.3,N7SZY,"Kellogg,  Wardner Peak",ID,OPEN,,119.9,NNW,,444,449,127.3,Shoshone,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.8,-5,,KA7NBR,Anaconda,MT,OPEN,,120.1,ESE,,446.8,441.8,,Deer Lodge,,,KA7NBR,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,103.5,W1KGK,"Missoula, Point Six",MT,OPEN,,120.6,NE,,147.12,147.72,103.5,Missoula,On-Air,Western Montana from Idaho to Central Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,107.2,K0PP,Anaconda,MT,OPEN,,121.2,ESE,,147.08,147.68,107.2,Deer Lodge,On-Air,,Anaconda ARC,Linked.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.43,-0.6,,KD7YAC,St Ignatius,MT,OPEN,,121.3,NNE,,145.43,144.83,,Lake,,,KD7YAC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.76,-1.6,CSQ,KB7BTU,"Wallace, Goose Peak",ID,OPEN,,121.5,N,,224.76,223.16,CSQ,Shoshone,On-Air,Lookout Pass to 4th of July Pass and up the CDA River.,KB7BTU,6,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,,KB7BYR,"Wallace, Goose Peak",ID,OPEN,,121.5,N,,147.18,147.78,,Shoshone,On-Air,"Burke Canyon, Coeur d'Alene River, Thompson Pass",KB7BYR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.03,-1,131.8,KB7IQN,Anaconda,MT,OPEN,,121.6,ESE,,53.03,52.03,131.8,Deer Lodge,,,KB7IQO,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.925,5,146.2,KF7GOR,"La Grande, Mount Harris",OR,OPEN,E,121.6,WSW,,444.925,449.925,146.2,Union,On-Air,Union County I-82 and I-84 and into Baker City Area.,,7,,,146.2,,For system info Press 0*.,,,147.5,,,,,Remote base required a PL of 146.2.,,,,,72735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.8,-0.6,123,WF7S,"Elgin, Spout Springs Ski Resort",OR,OPEN,,125.4,W,,146.8,146.2,123,Umatilla,On-Air,"Wide area: Spokane to the North, Hood River to the West, Baker City to the Southwest, Joseph and Enterprise to the SE and high Idaho points to the East. Excellent coverage along I-84 except for down in the gorge in Morrow and Wasco counties (coverage ends WB I-84 at ~mp 147 and EB I-84 at mp 314). Coverage for Columbia Basin and Franklin County. No coverage from La Grande mp 261 through hills to the west.",Spout Springs Repeater Association,E-power.,ORRC,,123,http://www.wf7s.net,Disable tone requirement by keying A0* (alpha zero asterisk) PL Tone is required again after 9 mins of repeater inactivity.,,,"Full-time to  
        146.62000 (WF7S) at Pasco, WA .",,Open ↑ / Open ↓,Yes; analog capable.,"Business Net: 1st and 3rd Sunday of each month at 19:30. 
Cracker Barrel Rag Chew Net: Weeknights at 20:00.",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,100,K7OJI,"Weiser, Sheep Creek",ID,OPEN,,126.7,SW,,147.12,147.72,,Washington,On-Air,Wide area; Along the US Hwy 95 North of Weiser for another 50 miles.,Treasure Valley Radio Association (TVRA),"Autopatch, e-power, link.",UVHFS,,,http://www.K7OJI.us,,,,,,Open ↑ / Open ↓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.1,5,CC2 100.0,WR7HLN,"Dillon, Badger Pass",MT,OPEN,E,127.2,SE,,444.1,449.1,100,Beaverhead,On-Air,,Mac Pass Repeater Group,E-power (solar),MRCC,,100,www.wr7hln.org,,,,Full-time to the  Mac Pass Repeater Group System .,,,Yes; analog capable.,,"Repeater is on Solar Powered 24 hours a day, so is emergency use at all times. Also uses Internet via Ubiquiti 5.8Ghz Path. All repeater are on the Mac Pass Repeater Group. 
7,520'.",Mac Pass repeater Group,,2,BrandMeister,259336,,,BrandMeister US,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Sched    North America  1  93  PTT    TAC 310  1  310  PTT    TAC 311  1  311  PTT    DCI Bridge  1  3100  PTT    Parrot  1  9990  PTT    Hytera USA Reflector  1  31089  PTT    MPRG 2  1  31302  Full-Time    BGV  1  31303  Full-Time    NW7RG-USA  1  31304  PTT    USA - Area 7 4647  1  31607  PTT    Local/Cluster  2  2  Full-Time    Montana  2  3130  Full-Time    MPRG  2  31301  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,,1,1,1,,1,1,1,1,2,2,2,,,,1,1,,,,,,,,
145.31,-0.6,100,KA7ERV,"Lowman, Pilot Peak",ID,OPEN,,129.6,S,,145.31,144.71,100,Boise,On-Air,,KA7ERV,E-power (solar).,,,,,,,,,,,,,,Boise County ARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,103.5,KD7DDQ,"Milton-Freewater, Pikes Peak",OR,OPEN,,131.8,W,,147.28,147.88,103.5,Umatilla,On-Air,,,3,,,,,,,,,,,,,PL not required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.85,5,,KC7MRQ,Ronan,MT,OPEN,W,133.5,NNE,,444.85,449.85,,Lake,Off-Air,Local valley coverage,,,,,,,,,,,,Open ↑ / Open ↓,,,WIRES-X enabled 24/7.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11864,,,,,,,
146.7,-0.6,162.2,KC7MRQ,Ronan,MT,OPEN,EA,133.5,NNE,,146.7,146.1,162.2,Lake,Off-Air,,,,MRCC,,162.2,,,,,,,,,,,,,,,274865,,29115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.2,0.6,100,K7WIR,"Emmett, Squaw Butte",ID,OPEN,,133.6,SSW,,147.2,147.8,100,Gem,On-Air,Wide area:,Western Idaho Amateur Radio Association,6,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.98,-0.6,100,W7GRA,"La Grande, Grande Ronde Hospital",OR,OPEN,W,133.8,WSW,,146.98,146.38,100,Union,On-Air,Grande Ronde Valley,,e-power,ORRC,,100,http://w7gra.org/,,,,,,Open ↑ / Open ↓,Yes; analog capable.,Sunday Night Net at 19:00,**NEWS***10/20/17 W7GRA is now a DR-2X repeater. C4FM use on this repeater may require you to update your radio's firmware. Please check with Yaesu to see if it is required for full System Fusion 2 compatibility. All System Fusion radios are upgrade-able.,Grande Ronde Radio Amateurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,30274,,,,,,,
444.15,5,100,K7OJI,"Huntington, Lime Hill",OR,OPEN,,135.5,SW,,444.15,449.15,100,Baker,On-Air,"Wide area: Baker City, OR to Boise, ID. 50 mi radius.",Treasure Valley Radio Association,5,ORRC,,,TVRA Repeaters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,100,K7OJI,"Huntington, Lime Hill",OR,OPEN,,135.5,SW,,147.12,147.72,100,Baker,On-Air,Wide area. Excelent coverage on I-84 from the east end of Ladd Canyon Canyon (~mp 270) to the Idaho border (mp 376). 75 mi radius.,Treasure Valley Radio Association,"APRS, e-power, linked.",ORRC,,,TVRA Repeaters,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.125,5,,WA7DRE,"Spokane, Sacred Heart Hospital",WA,OPEN,,138,NW,,443.125,448.125,,Spokane,On-Air,"Spokane, Spokane Valley, Post Falls ID, CDA ID",WA7DRE,,,,,http://www.wa7dre.org,,,,,,,,,,Washington Digital Radio Enthusiasts,,,,,,,,,,,,,,,,,,,,,,,,WA7DRE (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,
443.525,5,,WA7DRE,Spokane,WA,OPEN,W,138.7,NW,,443.525,448.525,,Spokane,On-Air,"Spokane, Spokane Valley, Post Falls ID, CDA ID",WA7DRE,,,,,http://www.wa7dre.org,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,Washington Digital Radio Enthusiasts,,,,,,,,,,,,,,,,,,,,,,,,,,,,11375,,,,,,,
145.47,-0.6,100,WI7ATV,"Idaho City, Shafer Butte",ID,OPEN,,139.4,S,,145.47,144.87,100,Boise,On-Air,Treasure Valley  75 mile radius,NB7C,,W7ZRQ,,100,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,Western Idaho Amateur Television/ Repeater Associa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.65,5,CSQ,N7DWC,"Weston, Waldo Mountain",OR,OPEN,,139.6,W,,444.65,449.65,CSQ,Umatilla,Off-Air,"Pendleton, Hermiston Oregon and Walla Walla, Tri-Cities Washington",N7DWC,E-power (solar),ORRC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,100,AE6DX,"Sawtooth City, Galena Peak",ID,OPEN,,139.7,SSE,,147.14,147.74,100,Blaine,On-Air,Sawtooth National Forest and Stanley,Wood River ARC,,UVHFS,,100,WRARC repeaters,,,,"Full-time to  
        147.18000 (N7ACB) at Ketchum, Bald Mountain, ID .",,,,Mon at 19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.9,5,,K7LW,Athena,OR,OPEN,,139.7,W,,444.9,449.9,,Umatilla,On-Air,"Low level, less than 100 miles",Cookie Radio Club,,,,,,,,DN05ul,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,K7LW (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,
449.4,-5,131.8,KB8ML,Butte,MT,OPEN,E,140,ESE,,449.4,444.4,131.8,Silver Bow,Off-Air,,,,,,,,,,,,,,,,,,,,,355351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,100,W7ROE,Butte,MT,OPEN,,140.1,ESE,,146.94,146.34,100,Silver Bow,On-Air,Wide area.,Butte ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
144.5,3,107.2,,Butte,MT,OPEN,,140.1,ESE,,144.5,147.5,107.2,Silver Bow,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.02,0.6,107.2,W7VNE,Butte,MT,OPEN,,140.1,ESE,,147.02,147.62,107.2,Silver Bow,On-Air,30,Anaconda ARC,"E-power, linked.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.25,5,,KL7NA,Walla Walla,WA,OPEN,,140.6,W,,444.25,449.25,,Walla Walla,,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.45,5,123,AL1Q,"Walla Walla, Hertzer Peak",WA,OPEN,,140.6,W,,443.45,448.45,123,Walla Walla,On-Air,"Eastern Washington, effective north up to I-90, west to Toppenish. Oregon coverage limited to high terrain along the Blue Mountains. No significant coverage in Idaho.",AL1Q,"Crossband link with 146.96, AL1Q",,,123,,,,,,,,,,,Lewis Peak Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.96,-0.6,74.4,AL1Q,"Walla Walla, Hertzer Peak",WA,OPEN,,140.6,W,,146.96,146.36,74.4,Walla Walla,On-Air,"Eastern Washington: Walla Walla, Benton, and Franklin counties. Intermittent contact along I-90, Moses Lake to Spokane, and high points south of I-90 to Snake River, including along SH26. Eastern Oregon: Limited to parts of Umatilla County, Pendleton and points north.",AL1Q,,,,74.4,,882,,,"Full-time to  
        145.41000 (N7LZM) at Kennewick, Jump Off Joe, WA .
 


Full-time to  
        442.47500 (KD7LZN) at Naches, Whites Pass, WA .",,,,Walla Walla ARES: Thu at 19:00.,,Lewis Peak Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,103.5,KD7DDQ,"Walla Walla, Pikes Peak",WA,OPEN,,140.6,W,,147.28,147.88,103.5,Walla Walla,On-Air,,Kamiak Butte Amateur Repeater Assoc (KBARA),3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,94.8,KH6IHB,Walla Walla,WA,OPEN,,140.6,W,,147.14,147.74,94.8,Walla Walla,On-Air,,KH6IHB,E-power.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.05,5,114.8,NB7C,Payette,ID,OPEN,EI,141.2,SSW,,443.05,448.05,114.8,Payette,On-Air,,NB7C,EchoIRLP Node,UVHFS,,,,,,,,,,,,,,,,,43417,3417,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.125,-25,103.5,NB7C,Payette,ID,OPEN,A,141.3,SSW,,927.125,902.125,103.5,Payette,On-Air,City of Payette.,"Carl Sorensen, NB7C",,UVHFS,,103.5,,,,,,,,,,,,,,,,,29902,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,,K7IMM,Dillon,MT,OPEN,,141.9,SE,,146.76,146.16,,Beaverhead,On-Air,,DARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.975,5,136.5,K7ID,"Coeur d'Alene, Canfield Mountain",ID,OPEN,E,142.1,NNW,,443.975,448.975,136.5,Kootenai,On-Air,Metro CDA area and I-90.,,,IACC,,,,,,,"Full-time to  
        146.98000 (K7ID) at Post Falls, Mica Peak, ID .",,,,,,,,,,426264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.775,-5,,K7IMM,Dillon,MT,OPEN,,142.1,SE,,449.775,444.775,,Beaverhead,,,DARC,Linked.,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.35,-0.6,100,W7CMA,Polson,MT,OPEN,,142.4,NNE,,145.35,144.75,100,Lake,On-Air,Wide area.,FVRG,"Autopatch, e-power, linked, remote base.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.27,-0.6,110.9,W7NYW,"Baker City, Beaver Mountain",OR,OPEN,E,142.9,SW,,145.27,144.67,110.9,Baker,On-Air,Wide area: Baker County. 60 mi radius.,Eastern Oregon ARS,E-power.,,,110.9,,,,,"Full-time to  
        145.15000 (W7NYW) at La Grande, Mount Fanny, OR .
 


Full-time to  
        145.17000 (W7NYW) at Ontario, Malheir, OR .",,,,,6,Baker ARC,,,,414516,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.35,5,192.8,N1NG,"Spokane, South Hill",WA,OPEN,,143.6,NNW,,444.35,449.35,192.8,Spokane,On-Air,,Kamiak Butte Amatuer Repeater Assoc (KBARA),,UVHFS,,,,,,DN17ln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.15,-0.6,114.8,WA7RVV,"Spokane, Mica Peak",WA,OPEN,E,143.6,NNW,,145.15,144.55,114.8,Spokane,On-Air,Wide area.,WA7RVV,,IACC,,114.8,,,,DN17ln,,,,,,,,,,,254771,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.24,0.6,127.3,WA7HWD,"Spokane, Mica Peak",WA,OPEN,,143.6,NNW,,147.24,147.84,127.3,Spokane,On-Air,"Spokane, WA.",,"Linked, e-power.",IACC,,127.3,,,,,,,,,Membership Net: Wed 2000.,,Northwest Tri-State ARO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.38,0.6,100,W7OE,"Spokane, Mica Peak",WA,OPEN,I,143.6,NNW,,147.38,147.98,100,Spokane,On-Air,Wide area. 30 mi radius.,W7OE,,IACC,,,,,,DN17ln,,,,,NW Regional/International Net: Weekdays 0700.  Weather Nets: Weekdays 0545 &amp; 1645.  Wednesday Evening Net: Wed at 1900.  Whitman/Latah County ARES Net: Thur at 1830.  KBARA Tech-Net: Thur at 1930.  Stanley Steamer Net: Sat at 0700.  Road Runners Net: Sun at 0700.  Spokane Region Storehouse ERC Net: Sun at 1930.,,Kamiak Butte Amateur Repeater Assoc,,,,,3957,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.11,-0.6,118.8,WA7UOJ,"Spokane, Mica Peak",WA,OPEN,,143.6,NNW,,145.11,144.51,118.8,Spokane,On-Air,,,,IACC,,118.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.29,-1.7,100,WA7UOJ,"Spokane, Mica Peak",WA,OPEN,,143.6,NNW,,53.29,51.59,100,Spokane,On-Air,Wide area.,,Autopatch.,IACC,,103.5,,,,DN17ln,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.98,-0.6,127.3,K7ID,"Post Falls, Mica Peak",ID,OPEN,,144.2,NNW,,146.98,146.38,127.3,Kootenai,On-Air,,Kootenai Amateur Radio Society,,IACC,,,Kootenai Amateur Radio Society,,,,"Full-time to  
        443.97500 (K7ID) at Coeur d'Alene, Canfield Mountain, ID .",,,,KARS NorthWest Traffic Net: Daily 18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.08,0.6,100,KC7ODP,"Post Falls, Mica Peak",ID,OPEN,,144.2,NNW,,147.08,147.68,100,Kootenai,On-Air,,,,IACC,,,,,,,,,,,NW Traffic Net: Wed at 18:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,,N7UBO,Emmett,ID,OPEN,,144.6,SSW,,147.22,147.82,,Gem,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.88,-1.6,100,KD7LXW,Emmett,ID,OPEN,E,144.6,SSW,,224.88,223.28,100,Gem,On-Air,Wide area. 75 mi radius.,KD7LXW,6,UVHFS,,,,,,,,,,,,,,,,,182942,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.22,0.6,,N7UBO,Emmett,ID,OPEN,,144.6,SSW,,147.22,147.82,,Gem,On-Air,,N7UBO,Yaesu System Fusion,W7ZRQ,,,,,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.65,5,100,KC7BSA,Fruitland,ID,OPEN,I,145.1,SSW,,443.65,448.65,100,Payette,On-Air,,,,UVHFS,,,IRLP site,,,,,,,,,,,,,,,3130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.15,5,100,K7RHB,Ontario,OR,OPEN,E,145.3,SSW,,443.15,448.15,100,Malhuer,On-Air,,,,,,,,,,,,,,,,2,,,,,224189,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.39,-1.7,100,KB6UMY,"Coeur d'Alene, Mica Peak/RX   Blossom/TX",ID,OPEN,EI,145.5,NNW,,53.39,51.69,100,Kootenai,On-Air,Kootenai County,Brandon Vetter,Linked to 147.280+ and 442.975+ All PL 100.0,IACC,,100,,,,,,,,,,,KARS,,,,465683,3773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.1125,-25,D432,NB7C,"Idaho City, Shafer Butte",ID,OPEN,EA,145.5,SSW,,927.1125,902.1125,D432,Boise,On-Air,Southwest Idaho,"Carl Sorensen, NB7C",,UVHFS,,D432,,,,,,,,,,,,,,,93417,,29901,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,100,K7BSE,"Idaho City, Shafer Butte",ID,OPEN,,145.5,SSW,,146.94,146.34,100,Boise,On-Air,Wide area. SW Idaho.,"Idaho Society of Radio Amateurs (ISRA), Boise Chapter",,UVHFS,,,,Link: 694.,,DN13ws,"Linkable to  
        443.30000 (K7ZZL) at Cascade, ID .",,,,ISRA: Sun at 20:30.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.84,-0.6,100,W7VOI,"Idaho City, Shafer Butte",ID,OPEN,,145.6,SSW,,146.84,146.24,100,Boise,On-Air,Wide area.,Voice of Idaho Amateur Radio Club (VOI),,W7ZRQ,,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.975,5,100,KB6UMY,"Post Falls, Blossom Peak",ID,OPEN,EI,145.6,NNW,,442.975,447.975,100,Kootenai,On-Air,"Post Falls, Spokane and Coeur d'alene area",Brandon Vetter,Linked to 147.280+ 53.39-1.7 PL 100.0 Hz,IACC,,100,http://www.blossompeak.org,,,,,,,,,,,,,,465683,3773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
