Frequency,Offset,Tone,Call,Location,ST/PR,Use,VOIP,Mi,Dir,,Downlink,Uplink,Uplink Tone,Downlink Tone,County,Op Status,Sponsor,Features,Web links,Coordination,Last update,Coverage,Commands,On-air,Grid,Links,YSF Digital Enabled,DG-ID,Mixed-Mode,Nets,Notes,Affiliate,EchoLink,IRLP,D-STAR Enabled,Node,Sources,DMR Enabled,Color Code,Wide Network,Local Network,Talkgroups,Worldwide English,North America,Simplex,TAC 310,TAC 311,DCI Bridge,Echo Test,Hytera USA Reflector,MPRG 2,BGV,NW7RG-USA,USA - Area 7 4647,Local/Cluster,Montana,MPRG,AllStar,WIRES-X,P25 Digital Enabled,NAC,Default Reflector,Parrot,Talkgroup Network,Idaho,Bandwidth,Feed
146.62,-0.6,88.5,KK3ARC,Kooskia,ID,OPEN,,2.6,NNE,,146.62,146.02,88.5,100,Idaho,On-Air,3,E-power (solar).,http://3riversarc.webs.com/,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.925,5,100,,"Kamiah, KOA Campground",ID,OPEN,,4.9,NNW,,443.925,448.925,100,100,Idaho,On-Air,John T. Biggs Sr.,,,,,Kamiah area only,Auto patch 6789 for dial tone 9876 to hang up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.68,-0.6,100,KC7MGR,Grangeville,ID,OPEN,,16.6,SSW,,146.68,146.08,100,,Idaho,On-Air,Camas Prairie ARC,Autopatch.,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,,,Cottonwood,ID,OPEN,,19,WSW,,444.4,449.4,,,Idaho,,,,,UVHFS,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.4,-5,,,Cottonwood,ID,OPEN,,19,WSW,,447.4,442.4,,,Idaho,,,,,UVHFS,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.84,-0.6,100,KB7VOL,"Cottonwood, Cottonwood Butte",ID,OPEN,,23.9,WSW,,146.84,146.24,100,,Idaho,Off-Air,CPARC,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.95,5,100,K7EI,"Cottonwood, Cottonwood Butte",ID,CLOSED,,23.9,WSW,,444.95,449.95,100,,Idaho,,,,,UVHFS,,,,Unknown,DN16sb,Full-time to the  K7EI System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.875,5,100,K7EI,Orofino,ID,OPEN,,26.6,NNW,,444.875,449.875,100,,Clearwater,On-Air,,,,UVHFS,,,,,,Full-time to the  K7EI System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.49,-0.6,,KC7VBT,Orofino,ID,OPEN,,26.6,NNW,,145.49,144.89,,,Clearwater,On-Air,CVARC,Autopatch. Analog and Digital in / Analog out,,UVHFS,,Orofino area,,,,,,Open ↑ / Open ↓,Yes; analog capable.,Sunday @ 19:30 PST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.27,-0.6,100,KD7ALJ,Orofino,ID,OPEN,,26.6,NNW,,145.27,144.67,100,,Clearwater,,,,,UVHFS,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.76,-0.6,131.8,K7NDX,"Orofino, Wells Bench",ID,OPEN,,28.2,NNW,,146.76,146.16,131.8,,Clearwater,On-Air,Clearwater Valley ARC,E-power.,,UVHFS,,Orofino area,,,,,,,,Sun at 19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,206.5,W7WWS,Peck,ID,OPEN,,31.2,NW,,145.21,144.61,206.5,,Nez Perce,,NPCEM,,,UVHFS,,,,Unknown,,,,,,,W7WWS is a silent key as of 2003.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.35,-1.7,100,K7EI,"Lewiston, Craig Mountain",ID,CLOSED,,40.7,W,,53.35,51.65,100,,Nez Perce,On-Air,K7EI,,,UVHFS,,,,,,Full-time to the  K7EI System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.92,-0.6,110.9,K7EI,"Lewiston,  Craig Mountain",ID,OPEN,,40.7,W,,146.92,146.32,110.9,,Nez Perce,On-Air,K7EI,Linked.,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.1,5,103.5,K7EI,"Lewiston,  Craig Mountain",ID,CLOSED,,42.1,W,,442.1,447.1,103.5,,Nez Perce,On-Air,K7EI,,,UVHFS,,,,,DN16oe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.19,-0.6,,KF7WOR,"Elk River, Elk Butte",ID,OPEN,,45.2,NNW,,145.19,144.59,,,Clearwater,On-Air,"Glen Ahlborn, AF7JB",,http://www.kbara.org,IACC,,,,,,,,,,7,,Kamiak Butte Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
446.05,0,103.5,WF7L,Anatone,WA,OPEN,E,49.4,W,,446.05,446.05,103.5,103.5,Asotin,On-Air,WF7L,Echolink Simplex Node with 15 Watts output,,,,"Anatone, Lewiston, Coverage into Hells Canyon and the Craig Mountain area.",0,,,,,,,"WX, WX warnings, Amateur Radio Newsline and Rain Report on Sundays at 19:00",Feel free to use anytime.,,896098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.21,-0.6,192.8,W7WWS,"Lewiston,  Lewiston Hill",ID,CLOSED,,52.5,WNW,,145.21,144.61,192.8,,Nez Perce,,NPCEM,,,UVHFS,,Wide area.,,Unknown,,,,,,,W7WWS is a silent key as of 2003.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.9,5,100,K7EI,"Lewiston, Lewiston Hill",ID,OPEN,,52.5,WNW,,444.9,449.9,100,,Nez Perce,On-Air,K7EI,Closed autopatch.,,UVHFS,,Wide area.,,,DN16ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.96,-0.6,,W7VJD,"Lewiston,  Lewiston Hill",ID,OPEN,,52.5,WNW,,146.96,146.36,,,Nez Perce,,Lewiston Clark Amateur Radio Club (LCARC),,,UVHFS,,Wide area.,,Unknown,DN16ml,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.35,-0.6,114.8,N7WEE,Deary,ID,OPEN,,52.9,NNW,,145.35,144.75,114.8,,Latah,,,,,UVHFS,,Worley to Waha to Orofino to Alpowai Grade.,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.4,5,162.2,W7TRO,Lewiston,ID,OPEN,I,53.1,WNW,,444.4,449.4,162.2,,Nez Perce,On-Air,,,,UVHFS,,,,,,,,,,,,,,7510,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.86,-0.6,,W7VJD,Lewiston,ID,OPEN,,53.1,WNW,,146.86,146.26,,,Nez Perce,On-Air,,,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.925,5,100,K7EI,Lewiston,ID,OPEN,,53.1,WNW,,444.925,449.925,100,,Nez Perce,,,,,UVHFS,,Wide area coverage.,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
223.96,-1.6,,KB7RKY,Lewiston,ID,OPEN,,53.1,WNW,,223.96,222.36,,,Nez Perce,,,,,UVHFS,,,,Unknown,,,,,,,Will be linked to KBARA in the future.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.35,-0.6,114.8,N7SAU,Clarkston,WA,OPEN,,54.3,WNW,,145.35,144.75,114.8,,Asotin,,N7SAU,E-power.,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.86,-0.6,,W7VJD,Anatone,WA,OPEN,,55.3,W,,146.86,146.26,,,Asotin,,Lewiston Clarkston ARC,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.375,5,131.8,N7SAU,"Clarkston, Stout Ranch",WA,OPEN,,57.9,WNW,,444.375,449.375,131.8,,Garfield,,N7SAU,E-power.,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.7,-0.6,,WB7TBM,"Moscow,  Paradise Ridge",ID,OPEN,,60.1,NW,,146.7,146.1,,,Latah,Off-Air,Thatuna ARC,"E-power, 3,700'.",,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.82,-0.6,127.3,WA7HWD,"Moscow, Moscow Mountain",ID,OPEN,,62.2,NW,,146.82,146.22,127.3,,Latah,On-Air,NW Tri-State Amateur Radio Org,Link.,,UVHFS,,Wide area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.975,5,100,K7EI,"Moscow, Moscow Mountain",ID,CLOSED,,62.2,NW,,444.975,449.975,100,,Latah,,,,,UVHFS,,Wide area.,,Unknown,DN16nt,Full-time to the  K7EI System .,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.39,-0.6,,KA7FAJ,"Clarkston, Potter Hill",WA,OPEN,,66.8,W,,145.39,144.79,,,Asotin,,KA7FAJ,Closed autopatch,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.1625,5,,W7YH,Pullman,WA,OPEN,,70.1,NW,,443.1625,448.1625,,,Whitman,On-Air,WSU ARC Rho Epsilon W7YH http://hamradio.wsu.edu/,,,,,6,,,,,,,,,,,,,,W7YH (B) Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.3,5,103.5,KC7AUI,Pullman,WA,OPEN,,70.4,NW,,444.3,449.3,103.5,,Whitman,On-Air,KC7AUI,2,,,,Pullman 4 mi radius.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53.75,-1.7,100,N7ZUF,"Colfax, Kamiak Butte",WA,OPEN,,75.2,NW,,53.75,52.05,100,,Whitman,On-Air,,E-power.,,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.74,-0.6,,W7HFI,"Colfax, Kamiak Butte",WA,OPEN,,75.2,NW,,146.74,146.14,,,Whitman,On-Air,N7ZUF,E-power.,,IACC,,Wide area.,,,,,,,,"Whitman County ARES Net, every Thursday at 6:30PM",Whitman County ARES Repeater,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,,KC7MCC,"McCall, Brundage Mtn",ID,OPEN,,79,S,,146.9,146.3,,,Valley,On-Air,CIARC,"Linked to 441.925, 444.125",http://www.ciarc.org,,,"Adams, Valley and southern Idaho counties.",,,,"Full-time to  
        147.02000 (KC7MCC) at Mccall, No Business Montain, ID .",,,,Wednesday before first Thursday of month (night before monthly CIARC meetings).,Use contact form on www.ciarc.org,Central Idaho Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,123,KC7MCC,"McCall, Brundage Mtn",ID,OPEN,,79,S,,146.9,146.3,123,,Valley,On-Air,CIARC,"Linked to 147.020, 441.925, 444.125.",http://www.ciarc.org,W7ZRQ,,"Adams, Valley and southern Idaho counties.",,,DN15WA,"Full-time to  
        444.12500 (N7IBC) at McCall, ID .
 


Full-time to  
        147.02000 (KC7MCC) at Mccall, No Business Montain, ID .",,,,ID ARES District 3: Monday 2030 Local,Use contact form on www.ciarc.org,Central Idaho Amateur Radio Club,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,103.5,KB7DZR,Joseph,OR,OPEN,E,79.9,SW,,147,147.6,103.5,103.5,Wallowa,On-Air,KB7DZR,"WX, e-power (Batt &amp; Gen).",Joseph Oregon Repeater System,ORRC,,"Joseph, Wallowa Lake, Enterprise, Wallowa Valley and parts of The Eagle Cap Wilderness.",0,,,,,103,Yes; analog capable.,DODROPIN Newsline Net: Sat at 18:00.,"Open for any use and everyone is welcome on this system. Feel free to enter commands for info, weather and Echolink. Printable user guide available on the web site. YSF DSQ code 103",,323569,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
442.5,5,100,KC7MCC,"McCall, Brundage Mountain",ID,OPEN,,84,S,,442.5,447.5,100,,Adams,On-Air,Central Idaho Amateur Radio Club (CIARC),,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.125,5,CC0 100.0,N7IBC,McCall,ID,OPEN,,85.5,S,,444.125,449.125,100,,Valley,Off-Air,N7IBC,"Linked, 2m Remote Base, 10m Remote Base",,W7ZRQ,,"McCall, Donnelly",,,,"Full-time to  
        146.90000 (KC7MCC) at McCall, Brundage Mtn, ID .
 


Full-time to  
        147.02000 (KC7MCC) at Mccall, No Business Montain, ID .",,,,,Low Level.,Central Idaho Amateur Radio Club (CIARC)  KC7MCC,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.96,-0.6,88.5,W7PX,"Superior, Thompson Peek",MT,OPEN,,86.7,NE,,146.96,146.36,88.5,,Mineral,On-Air,Hellgate Amateur Radio Club,5,,,,"I-90 = Fish Creek, MT to St. Regis, MT",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.31,-0.6,88.5,KB7SIJ,"St. Maries, Idaho",ID,OPEN,,87.2,NNW,,145.31,144.71,88.5,,Idaho,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.72,-0.6,203.5,W7FTX,Hamilton,MT,OPEN,,87.3,ESE,,146.72,146.12,203.5,,Ravalli,On-Air,Bitterfoot ARC,5,https://www.facebook.com/W7FTX/info/?tab=page_info,MRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.68,-0.6,100,W1KGK,"Thompson Falls, Clarks Peak South of Thompaon Falls",MT,OPEN,,89.7,NNE,,146.68,146.08,100,,Sanders,On-Air,W1KGK,,,,,NW Montana,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.02,0.6,,K7HPT,"Saltese,  Lookout Pass",MT,OPEN,,91.5,N,,147.02,147.62,,,Mineral,On-Air,,Linked.,Kamiak Butte Amateur Repeater Association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.2,5,CC2 131.8,WR7HLN,"Mullan-ID, Lookout Pass",MT,OPEN,,91.5,N,,444.2,449.2,131.8,131.8,Mineral,On-Air,Mac Radio Repeater Group,,http://www.wr7hln.org,MRCC,,From Spokane Washington to I90 to about 60 miles east of the Idaho/Montana Border,,,,Full-time to the  Mac Pass Repeater Group System .,,,,,DMR Info at our website at http://www.dmr-montana.net,Mac Pass Repeater Group System,,,,,,,2,BrandMeister,Mac Pass Repeater Group,"Open Talkgroup View 


 
   
    
     Assignment 
     TS 
     TG 
     Access 
   

  Worldwide English  1  91  Sched    North America  1  93  PTT    Simplex  1  99      TAC 310  1  310  PTT    TAC 311  1  311  PTT    DCI Bridge  1  3100  PTT    Echo Test  1  9990  PTT    Hytera USA Reflector  1  31089  PTT    MPRG 2  1  31302  PTT    BGV  1  31303  PTT    NW7RG-USA  1  31304  PTT    USA - Area 7 4647  1  31607  PTT    Local/Cluster  2  2  Full-Time    Montana  2  3130  Full-Time    MPRG  2  31301  Full-Time  
  
 
 
function myFunction(id) {
    var x = document.getElementById(id);
    if (x.className.indexOf(""w3-show"") == -1) {
        x.className += "" w3-show"";
    } else {
        x.className = x.className.replace("" w3-show"", """");
    }
}",1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,,,,,,,,,,
147.02,0.6,,K7HPT,"Mullan, Lookout Pass",ID,OPEN,,91.6,N,,147.02,147.62,,,Shoshone,On-Air,"W7OE ,  Kamiak Butte Amateur Repeater Association",,,UVHFS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444,5,127.3,N7SZY,"Kellogg,  Wardner Peak",ID,OPEN,,93.4,N,,444,449,127.3,,Shoshone,On-Air,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.94,-0.6,127.3,N7SZY,"Kellogg,  Wardner Peak",ID,OPEN,,93.4,N,,146.94,146.34,127.3,,Shoshone,On-Air,SVARC,,,IACC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.66,-0.6,88.5,KE7WR,Stevensville,MT,OPEN,,93.4,E,,146.66,146.06,88.5,,Ravalli,On-Air,KE7WWR,,,MRCC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
927.75,-25,114.8,KD7HP,Stevensville,MT,OPEN,,93.4,E,,927.75,902.75,114.8,,Ravalli,,,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.02,0.6,100,KC7MCC,"Mccall, No Business Montain",ID,OPEN,,95.9,S,,147.02,147.62,100,100,Adams,On-Air,Central Idaho Amateur Radio Club (CIARC),"E-power, linked.",http://www.ciarc.org,UVHFS,,Wide area.,,,,"Full-time to  
        146.90000 (KC7MCC) at McCall, Brundage Mtn, ID .
 


Full-time to  
        444.12500 (N7IBC) at McCall, ID .
 


Full-time to  
        146.90000 (KC7MCC) at McCall, Brundage Mtn, ID .
 


Full-time to  
        146.96000 (W7CIA) at Cascade, ID .",,,,"Idaho ARES District 3 Net: Mon at 2030 Mountain Time. 
Club NET: Thu (Except 1st Thursday of month) 20:00 Mountain Time.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
224.76,-1.6,CSQ,KB7BTU,"Wallace, Goose Peak",ID,OPEN,,98.2,N,,224.76,223.16,CSQ,,Shoshone,On-Air,KB7BTU,6,,IACC,,Lookout Pass to 4th of July Pass and up the CDA River.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.18,0.6,,KB7BYR,"Wallace, Goose Peak",ID,OPEN,,98.2,N,,147.18,147.78,,,Shoshone,On-Air,KB7BYR,,,,,"Burke Canyon, Coeur d'Alene River, Thompson Pass",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
447.5,-5,203.5,W7FTX,Stevensville,MT,OPEN,,98.7,E,,447.5,442.5,203.5,,Ravalli,,Bitterfoor A,4,http://www.members.tripod.com/w7ftx/Club%20RPTRS.htm,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
145.15,-0.6,110.9,W7NYW,"La Grande, Mount Fanny",OR,OPEN,,102.4,WSW,,145.15,144.55,110.9,,Union,On-Air,Eastern Oregon Amateur Radio Society,7,,,,,,,,"Full-time to  
        145.17000 (W7NYW) at Ontario, Malheir, OR .
 


Full-time to  
        145.27000 (W7NYW) at Baker City, Beaver Mountain, OR .",,,,,,Baker ARC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.26,0.6,103.5,K7RPT,"La Grande, Mount Fanny",OR,OPEN,,102.4,WSW,,147.26,147.86,103.5,,Union,On-Air,Amateur Radio Relay Group (ARRG),88,http://www.arrg.org/,ORRC,,I-84 west of La Grande and the Baker area.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.8,-0.6,123,WF7S,"Elgin, Spout Springs Ski Resort",OR,OPEN,,102.7,WSW,,146.8,146.2,123,123,Umatilla,On-Air,Spout Springs Repeater Association,E-power.,http://www.wf7s.net,ORRC,,"Wide area: Spokane to the North, Hood River to the West, Baker City to the Southwest, Joseph and Enterprise to the SE and high Idaho points to the East. Excellent coverage along I-84 except for down in the gorge in Morrow and Wasco counties (coverage ends WB I-84 at ~mp 147 and EB I-84 at mp 314). Coverage for Columbia Basin and Franklin County. No coverage from La Grande mp 261 through hills to the west.",Disable tone requirement by keying A0* (alpha zero asterisk) PL Tone is required again after 9 mins of repeater inactivity.,,,"Full-time to  
        146.62000 (WF7S) at Pasco, WA .",,Open ↑ / Open ↓,Yes; analog capable.,"Business Net: 1st and 3rd Sunday of each month at 19:30. 
Cracker Barrel Rag Chew Net: Weeknights at 20:00.",5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.925,5,146.2,KF7GOR,"La Grande, Mount Harris",OR,OPEN,E,104.3,WSW,,444.925,449.925,146.2,146.2,Union,On-Air,,7,,,,Union County I-82 and I-84 and into Baker City Area.,For system info Press 0*.,,,147.5,,,,,Remote base required a PL of 146.2.,,72735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
449.075,-5,123,W7GET,"Plains, Pats Knob",MT,OPEN,,104.6,NNE,,449.075,444.075,123,,Sanders,On-Air,,,,,,Wide Area,,,,,,,,,6915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.14,0.6,103.5,K7KTR,Plains,MT,OPEN,E,104.6,NNE,,147.14,147.74,103.5,,Sanders,On-Air,K7KTR,80,,,,30,,,,"Full-time to  
        146.62000 (KA5LXG) at Bigfork, MT .
 


Full-time to  
        146.70000 (K7HR) at East Glacier, Mt Baldy, MT .",,,,,,,44014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.36,0.6,103.5,KD8RMQ,"Plains, In Town",MT,OPEN,E,104.6,NNE,,147.36,147.96,103.5,103.5,Sanders,On-Air,KD8RMQ,EchoLink,http://www.qsl.net/kd8rmq/link,MRCC,,Plains - Paradise,#2 = Activate EchoLink (node)# = Connect to Node #. # = Disconnect from Node.,,,,,,,,Covers Plains and Paradise with a handheld. Covers from Thompson Falls to Perma on a mobile.,,757103,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.64,-0.6,100,W7GET,"Plains, Pats Knob",MT,OPEN,A,104.6,NNE,,146.64,146.04,100,,Sanders,On-Air,,,,MRCC,,Wide area: From Thompson Falls to St. Regis,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,41474,,,,,,,,,
443.125,5,,WA7DRE,"Spokane, Sacred Heart Hospital",WA,OPEN,,104.9,NW,,443.125,448.125,,,Spokane,On-Air,WA7DRE,,http://www.wa7dre.org,,,"Spokane, Spokane Valley, Post Falls ID, CDA ID",,,,,,,,,,Washington Digital Radio Enthusiasts,,,,WA7DRE (B) Gateway Repeater,"jfindu lookup 
    /   dstar-users lookup",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.12,0.6,,W1KGK,"Missoula, Point 6",MT,OPEN,,105.4,E,,147.12,147.72,,,Missoula,On-Air,,,,,,Northwest and Western Montana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.28,0.6,103.5,KD7DDQ,"Milton-Freewater, Pikes Peak",OR,OPEN,,105.6,W,,147.28,147.88,103.5,,Umatilla,On-Air,,3,,,,,,,,,,,,,PL not required.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
443.525,5,,WA7DRE,Spokane,WA,OPEN,W,105.7,NW,,443.525,448.525,,,Spokane,On-Air,WA7DRE,,http://www.wa7dre.org,,,"Spokane, Spokane Valley, Post Falls ID, CDA ID",,,,,,Open ↑ / Open ↓,Yes; analog capable.,,,Washington Digital Radio Enthusiasts,,,,,,,,,,,,,,,,,,,,,,,,,,,11375,,,,,,,,
146.8,-0.6,88.5,W7PX,"Missoula, Blanchard Mountain",MT,OPEN,,106.9,E,,146.8,146.2,88.5,,Missoula,On-Air,Hellgate Amateur Radio Club,5,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147.04,0.6,,W7PX,"Missoula, Point Six",MT,OPEN,,106.9,E,,147.04,147.64,,,Missoula,,Hellgate Amateur Radio Club,7,,,,Wide area.,,Unknown,,,,,,HARC: Wed at 21:00,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52.85,-1,,K7UXO,Missoula,MT,OPEN,,106.9,E,,52.85,51.85,,,Missoula,,K7UXO,,,,,,,Unknown,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146.9,-0.6,88.5,W7PX,"Missoula,  Point Six",MT,OPEN,,106.9,E,,146.9,146.3,88.5,,Missoula,,Hellgate Amateur Radio Club,7,,,,Wide area.,,Unknown,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
444.8,5,88.5,W7PX,"Missoula,  Point Six",MT,OPEN,,106.9,E,,444.8,449.8,88.5,,Missoula,,Hellgate Amateur Radio Club,7,,,,,,Unknown,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
147,0.6,,NZ7S,"Missoula,  University Mountain",MT,OPEN,,108.8,E,,147,147.6,,,Missoula,On-Air,NZ7S,Closed autopatch.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
